rtt;x;y
44542;-5.83;4.04
33231;-0.37;4.61
16376;-1.59;2.75
56384;7.19;5.6
63242;-6.58;6.94
54850;-3.22;7.87
50132;-4.59;-5.31
73782;3.82;-9.78
35824;-5.59;-0.72
48861;6.24;6.05
