rtt;x;y
27908;1.38;4.25
65192;-8.69;5.13
64962;7.77;-3.47
56444;8.6;-2.86
19660;3.6;0.66
70720;-6.25;8.22
38203;2.37;-6.01
61332;-2.52;-8.92
64322;8.68;0.54
27812;2.96;2.26
