rtt;x;y
40656;-3.98;5.5
65300;-6.26;4.57
25698;-3.54;2.63
43684;3.32;4.82
25838;1.34;4.97
17886;-2.04;0.61
56893;-2.41;8.62
72137;-9.79;4.09
73772;-6.6;7.9
76894;-7.54;7.26
