rtt;x;y
70311;-5.56;-8.9
69316;7.42;6.63
43832;-5.87;-2.73
80822;8.38;9.59
56198;-0.23;-8.21
16559;2.24;-2.07
36178;5.32;-2.92
73245;-4.07;9.82
56567;-6.25;6.17
59014;-8.39;2.99
