rtt;x;y
56594;0.28;8.44
40766;5.47;3.18
53045;7.41;-2.68
77104;-9.84;-7.02
42032;-3.81;-5.98
68875;9.16;-5.56
22709;0.26;-3.61
30677;-3.64;-2.72
2626;0.78;0.78
41912;-5.58;3.63
