rtt;x;y
24583;2.95;2.16
54673;0.14;8.16
20468;0.57;3.05
60333;7.93;4.45
44601;4;-5.37
57552;4.29;-7.4
54949;4.35;7.03
71795;-5.55;9.37
61992;-6.5;-6.61
17814;-0.86;2.42
