rtt;x;y
53889;2.41;8
68153;-4.04;-9.03
39052;3.08;4.94
33149;-4.53;2.68
25328;0.46;3.88
25953;-2.54;-2.78
48731;-2.62;6.57
67915;4.7;9.15
46460;2.97;-6.37
68604;8.52;-4.98
