rtt;x;y
57113;3.13;8.2
71567;9.1;-4.53
68542;9.42;1.73
55835;-8.05;1.29
35078;-5.19;2.48
75329;7.38;8.58
56099;0.95;-9.02
40653;4.39;4.64
58091;8.52;-1.16
34456;2.34;-4.46
