rtt;x;y
66309;4.57;-8.25
27957;2.03;4.34
74533;9.05;6.5
69513;-7.14;7.26
70491;6.15;-8.18
61471;-2.74;8.43
34594;-6.27;-0.23
35593;-4.82;-1.77
46014;2.6;6.11
80457;-9.35;8.21
