bandwidth;positions;euclidean_error;ftms;seed;x_calculated;y_calculated
20;4;0.31;6;23;-0.25246;0.18515
20;5;0.32;6;23;-0.2615;0.18238
20;6;0.43;6;23;-0.31117;0.29488
20;7;0.42;6;23;-0.37164;0.20042
20;8;0.43;6;23;-0.36564;0.22907
20;9;0.46;6;23;-0.3344;0.31888
20;10;0.46;6;23;-0.3592;0.29258
20;3;0.57;6;24;-0.56481;0.08415
20;4;0.53;6;24;-0.5206;0.11304
20;5;0.54;6;24;-0.18382;0.5072
20;6;0.57;6;24;-0.27876;0.49381
20;7;0.46;6;24;-0.17928;0.42578
20;8;0.52;6;24;-0.5227;0.00082
20;9;0.39;6;24;-0.28042;-0.27702
20;10;0.41;6;24;-0.28926;-0.2956
20;3;3.78;6;25;2.3725;-2.93795
20;4;3.87;6;25;2.52143;-2.94202
20;5;3.84;6;25;2.75248;-2.68255
20;6;0.31;6;25;0.04808;-0.3015
20;7;0.3;6;25;0.07453;-0.29158
20;8;0.22;6;25;0.02528;-0.22044
20;9;0.27;6;25;-0.24566;0.10367
20;10;0.26;6;25;-0.04199;-0.25215
20;3;0.53;6;26;-0.05642;-0.52266
20;4;0.74;6;26;0.11992;-0.72743
20;5;0.64;6;26;-0.01538;-0.63587
20;6;0.5;6;26;0.20364;-0.4585
20;7;0.4;6;26;0.12934;-0.37358
20;8;0.28;6;26;0.17083;-0.22393
20;9;0.32;6;26;0.26793;-0.16737
20;10;0.27;6;26;0.18672;-0.20173
20;3;0.45;6;27;-0.17368;-0.415
20;4;0.44;6;27;-0.23303;-0.37615
20;5;0.33;6;27;-0.20833;-0.25129
20;6;0.03;6;27;0.01676;-0.02471
20;7;0.1;6;27;0.07402;0.07274
20;8;0.11;6;27;0.03588;0.10471
20;9;0.22;6;27;-0.07895;0.21022
20;10;0.25;6;27;-0.05351;0.24386
20;3;1.45;6;28;1.35607;-0.51672
20;4;1.56;6;28;1.47515;-0.4963
20;5;1.34;6;28;1.2927;-0.36474
20;6;1.35;6;28;1.28944;-0.38891
20;7;0.87;6;28;0.79061;-0.36963
20;8;0.87;6;28;0.62898;-0.60011
20;9;0.86;6;28;0.59801;-0.62242
20;10;0.8;6;28;0.50022;-0.62179
20;3;0.74;6;29;-0.62347;0.4007
20;4;0.24;6;29;-0.13749;0.20113
20;5;0.43;6;29;-0.14153;0.40369
20;6;0.56;6;29;-0.19496;0.52835
20;7;0.52;6;29;-0.25954;0.45519
20;8;0.57;6;29;-0.37733;0.4286
20;9;0.53;6;29;-0.46217;0.25691
20;10;0.27;6;29;-0.26648;0.06298
20;3;0.24;6;2;-0.19596;-0.14653
20;4;0.41;6;2;-0.37529;-0.16722
20;5;0.23;6;2;-0.22482;0.05516
20;6;0.39;6;2;-0.37565;-0.10511
20;7;0.25;6;2;-0.02217;-0.24626
20;8;0.18;6;2;-0.08078;-0.16074
20;9;0.3;6;2;-0.24709;-0.16821
20;10;0.28;6;2;-0.20943;-0.18196
20;3;1.23;6;30;0.65598;-1.03951
20;4;1.17;6;30;0.5962;-1.00595
20;5;1.19;6;30;0.77989;-0.89469
20;6;0.85;6;30;0.53339;-0.66398
20;7;1.5;6;30;-0.20382;-1.48799
20;8;1.32;6;30;-0.43909;-1.24846
20;9;1.16;6;30;-0.50472;-1.04223
20;10;1.01;6;30;-0.10324;-1.00145
20;3;1.01;6;31;-0.61397;-0.79701
20;4;0.91;6;31;-0.46443;-0.78173
20;5;0.79;6;31;-0.29822;-0.7262
20;6;0.78;6;31;-0.29762;-0.72373
20;7;0.4;6;31;-0.32854;-0.23407
20;8;0.52;6;31;-0.5178;0.06968
20;9;0.72;6;31;-0.66572;0.27982
20;10;0.62;6;31;-0.61195;0.08942
20;3;0.89;6;32;0.73953;0.48742
20;4;0.52;6;32;0.38149;0.35906
20;5;0.34;6;32;0.24203;0.23668
20;6;0.39;6;32;0.35422;0.15848
20;7;0.25;6;32;0.18728;0.15832
20;8;0.28;6;32;0.06312;0.27192
20;9;0.34;6;32;-0.06398;-0.33059
