rtt;x;y
67089;-1.66;9.95
63630;4.41;8.66
81703;-10;-7.44
69363;-3.96;9.99
56603;-7.07;-5.28
57403;-8.16;-2.07
36383;-6.28;-2.24
28112;-3.09;3.4
66742;-2.07;8.72
42078;0.78;6.93
