rtt;x;y
59948;-8.26;2.24
37984;-5.39;3.16
61792;-1.78;9.41
43705;-3.79;4.05
36248;1.32;6.13
55455;0.9;8.75
33485;6.15;-0.26
54300;8.37;-0.98
18619;0.44;3.13
16541;-1.51;-3.32
