rtt;x;y
62200;-9.66;-1.47
63658;7.84;-4.67
34619;-4.3;3.88
51366;-4.02;-7.84
77552;5.84;9.27
30060;-3.51;-2.07
42846;7.3;-0.41
39867;-1.05;4.94
21397;0.97;-0.96
35149;-2.86;3.03
