rtt;x;y
74753;-8.48;-5.46
43683;5.6;-3.62
65151;-1.23;9.57
34193;4.47;-0.89
72978;9.56;-3.84
29716;0.77;-4.72
54281;0.02;-8.27
61147;-8.56;-1.61
66015;-4.63;-9.69
49127;3.59;7.38
