rtt;x;y
60298;3.01;-8.48
9786;0.11;-1.35
61432;7.58;-5.11
69458;-6.37;8.17
71115;5.01;-9.77
27518;3.32;-1.46
64472;9.76;1.38
51832;-4.86;7
89540;-9.44;9.59
29698;2.72;-3.53
