rtt;x;y
73676;-5.95;9.87
71237;-5.86;8.23
73130;-6.95;-7.75
44935;5.09;4.56
50326;-5.45;5.67
26437;3.28;-1.63
36922;1.79;4.84
68536;-1.57;9.84
58873;7.12;5.25
36582;-0.27;-5.19
