rtt;x;y
50558;1.76;7.75
79419;7.96;9.09
45491;6.32;2.43
66664;-9.29;2.81
68372;3.84;9.01
30048;-2.43;3.46
62184;0.37;-9.18
50313;3.16;6.83
63007;-6.13;6.33
48407;-4.56;5.65
